SYMBOL,VOLUME,PERCENTAGE,% Change From Yesterday
Gold,76025149,32.11,-13.468108988743351
Silver,54598802,23.06,-0.9503676073746066
Metal Sector,14075173,5.95,24.600259395518677
Midcap Stocks,11918498,5.03,9.148262441974481
Largecap Stocks,11665356,4.93,-15.21256720007588
SILVERCASE,6602183,2.79,51.589173958335486
IT Sector,6346696,2.68,-47.697026095217566
PSU Bank Sector,4629493,1.96,-37.457539420925784
Gsecs - Bonds,3939190,1.66,21.46728111735875
Low Volatility Index,3823570,1.62,-15.206339659864671
Oil and Gas Sector,3115317,1.32,14.033391729082767
MOGOLD,3048537,1.29,24.70147275621884
Smallcap Stocks,3029118,1.28,-19.192123446363027
USA Market,2934141,1.24,65.42785910328202
Reality Sector,2744597,1.16,210.51973588935954
Pharma Sector,2648122,1.12,-23.596202606149646
Defence Sector,1975686,0.83,35.57883728159657
Public Sector Enterprise,1818390,0.77,0.28435381202867366
MOSILVER,1453973,0.61,27.60798170274687
Banking & Finance Sector,1321166,0.56,-49.958259599534564
FMCG Sector,988204,0.42,18.260257677551227
Auto Sector,802056,0.34,-3.744578509897295
AONEGOLD,551112,0.23,-28.493226402045895
Capital Markets & Insurance,549831,0.23,-39.40708692135267
NBFC Sector,420075,0.18,-43.89499552575695
GROWWPOWER,358362,0.15,-30.05168604242628
SML100CASE,316562,0.13,45.985381263114206
China Market,315249,0.13,-61.21358494651702
ELM250,300335,0.13,2566.5630826600373
Healthcare Sector,281690,0.12,23.81433783130412
EV Sector,275059,0.12,-52.90714596338161
Consumption Sector,271439,0.11,-15.924894611479528
GROWWSC250,245321,0.1,-42.11861247563905
CASHIETF,236682,0.1,17.303450976116252
NIFTYCASE,232325,0.1,59.6845143996151
FLEXIADD,215926,0.09,-25.422663392428497
GROWWNET,211114,0.09,-25.4788311789166
GROWWSLVR,190024,0.08,-25.138181402733295
GROWWMOM50,162032,0.07,-35.90125996400103
AONENIFTY,155010,0.07,-8.079035070033326
GROWWRLTY,150275,0.06,14.473433631689204
SILVERAG,148954,0.06,-84.78166697317067
EVIETF,148602,0.06,-85.052296141613
GROWWNIFTY,140606,0.06,12.333823341429119
LTGILTCASE,99065,0.04,2.081508578494513
Infra Sector,92143,0.04,-26.7194210275171
Commodities,86534,0.04,-8.377273786078817
MOENERGY,63181,0.03,-10.802874366467607
MOMENTUM30,56882,0.02,1125.905172413793
AXISVALUE,44611,0.02,37.61182059349744
Manufacturing Sector,41389,0.02,62.6095155777315
TOP15IETF,40495,0.02,35.15904008544441
INTERNET,40249,0.02,-57.30545655125594
SBIBPB,39571,0.02,-84.85175614891376
MOMIDMTM,32664,0.01,-69.53468200005595
MID150,27878,0.01,49.35176256294868
SILVER360,16614,0.01,-88.88673351304709
Select IPO Index,15868,0.01,53.40293890177881
GROWWLOVOL,14693,0.01,-38.47410074954985
AONELIQUID,13801,0.01,314.3200240168118
LIQGRWBEES,12896,0.01,-46.91256380701466
MOPSE,9458,0.0,2893.0379746835442
MOTOUR,8653,0.0,65.63935681470137
MANUFGBEES,7033,0.0,42.657200811359026
MOINFRA,6656,0.0,68.12326345036625
MON50EQUAL,5310,0.0,25.413320736891826
GROWWNXT50,4668,0.0,-77.3826251271864
QUALITY30,3439,0.0,90.0
MOALPHA50,2876,0.0,-23.327112769928018
SNXT30BEES,1993,0.0,-17.882159044087352
MONIFTY100,1622,0.0,-95.18565789083138
MONEXT50,1523,0.0,-76.07978639861787
EQUAL50,530,0.0,783.3333333333333
MOMGF,293,0.0,-36.02620087336245
SBILIQETF,102,0.0,-93.26287978863937
ELIQUID,1,0.0,
