SYMBOL,VOLUME,PERCENTAGE,% Change From Yesterday
Silver,145864937,37.77,40.63997352594656
Gold,128016505,33.15,77.44078493674283
Metal Sector,19736145,5.11,64.5706768161178
SILVERCASE,12079061,3.13,25.880119462016577
Midcap Stocks,10417613,2.7,31.335612271977435
Largecap Stocks,9850684,2.55,-4.195880436591365
IT Sector,6925727,1.79,-27.751753752915448
Gsecs - Bonds,4003561,1.04,3.833117422871985
Smallcap Stocks,3620788,0.94,8.10119772153161
Defence Sector,2376380,0.62,80.2038039975188
Pharma Sector,2193822,0.57,-8.849579215685461
Banking & Finance Sector,2112617,0.55,-32.453945734027485
PSU Bank Sector,1439488,0.37,-33.73172888662392
SML100CASE,1276446,0.33,8.611887314547886
Low Volatility Index,1264044,0.33,24.098403466780287
GROWWPOWER,1202781,0.31,422.5506679700228
USA Market,1196044,0.31,-9.396577649806414
FMCG Sector,1193175,0.31,122.10546693943347
Oil and Gas Sector,1159342,0.3,62.83076214339487
AONEGOLD,1147015,0.3,7.610000938174314
Public Sector Enterprise,1086367,0.28,-47.582694622768734
SILVERAG,922492,0.24,-0.34999330259729594
MOGOLD,893442,0.23,1348.488189231692
Reality Sector,856620,0.22,116.2870495913467
GROWWSLVR,688295,0.18,51.44637509598861
Auto Sector,521890,0.14,-0.8394324235998692
Infra Sector,441479,0.11,89.54104413532544
MOSILVER,429030,0.11,387.19637523989053
Capital Markets & Insurance,415447,0.11,-25.27676305485259
CHEMICAL,386374,0.1,274.8692623388216
GROWWCAPM,362475,0.09,15.92856388983948
Consumption Sector,340691,0.09,-46.63629016089419
China Market,304883,0.08,-5.573897423191278
GROWWNIFTY,294570,0.08,0.15640406650572913
SBILIQETF,292171,0.08,308.50507536142726
NBFC Sector,238248,0.06,-16.152078354912845
EV Sector,237717,0.06,30.15461941941065
Healthcare Sector,173941,0.05,-7.881455119344571
GROWWSC250,154143,0.04,-6.815502638785614
LIQGRWBEES,136619,0.04,510.4240203744247
LTGILTCASE,133414,0.03,-36.09032641290706
NIFTYCASE,130690,0.03,19.20680816907318
AONENIFTY,127227,0.03,-19.314701014059853
CASHIETF,110947,0.03,-73.53780177739192
GROWWMOM50,97292,0.03,13.84107742531856
SMALL250,91830,0.02,3.4238089874985924
CHOICEGOLD,84743,0.02,-31.18884639432251
GROWWRLTY,80761,0.02,78.00528983910073
GROWWNET,77920,0.02,-19.748699727071426
EVIETF,75196,0.02,-5.495858940039463
Commodities,72204,0.02,-30.343343913098003
MOENERGY,66745,0.02,288.34584278815385
MID150,59499,0.02,33.53757069754915
INTERNET,59117,0.02,107.11558000210208
FLEXIADD,56513,0.01,-49.74343924801465
SILVER360,56427,0.01,8.469656484881105
AONETMMQ50,51478,0.01,-2.9888436604854514
AXISVALUE,45015,0.01,7.219416920731707
SBIBPB,42321,0.01,140.85709407546526
TOP15IETF,39293,0.01,-64.84948785615244
GROWWLOVOL,32839,0.01,73.18320852230778
AONELIQUID,29115,0.01,-62.80231503366509
ENERGY,28559,0.01,109.88461821121483
Manufacturing Sector,27376,0.01,305.57037037037037
MOMIDMTM,26588,0.01,7.417582417582418
ELIQUID,13777,0.0,242.3707753479125
Select IPO Index,13079,0.0,109.86842105263158
SILVERBND,12488,0.0,
MOTOUR,12007,0.0,-11.635266411539593
GOLDBND,8662,0.0,
MANUFGBEES,3962,0.0,95.26860522424839
GROWWNXT50,3889,0.0,-61.61287138485836
ELM250,3878,0.0,-79.04010377256513
MONIFTY100,3864,0.0,-73.47611202635915
MON50EQUAL,3255,0.0,207.36543909348444
MOMENTUM30,3229,0.0,-59.05401978189197
MSCIADD,2419,0.0,51.09306683322923
MONEXT50,2361,0.0,-66.2135088723526
MOMNC,2298,0.0,75.95712098009189
ENIFTY,1946,0.0,28.874172185430464
SNXT30BEES,1920,0.0,-16.702819956616054
QUALITY30,1527,0.0,-66.02136181575435
GROWWMC150,1365,0.0,113.6150234741784
MOALPHA50,1295,0.0,-71.33052911224263
MOIPO,1058,0.0,124.6284501061571
MOINFRA,1029,0.0,-55.66566135286515
MOPSE,507,0.0,53.63636363636364
MOSERVICE,478,0.0,-42.20072551390569
MOMGF,448,0.0,236.84210526315786
EQUAL50,378,0.0,-58.232044198895025
ESENSEX,261,0.0,-81.01818181818182
