SYMBOL,VOLUME,PERCENTAGE,% Change From Yesterday
Gold,69290152,30.69,-13.776995944615859
Silver,52858139,23.41,-8.81792736472928
Midcap Stocks,13142248,5.82,68.22045141673328
Largecap Stocks,12458958,5.52,24.079872292609192
IT Sector,9560933,4.23,-41.44291642655604
Metal Sector,7693029,3.41,10.897957253777335
SILVERCASE,7064852,3.13,2.7954996016863762
Pharma Sector,5399538,2.39,108.12641292344341
PSU Bank Sector,5395233,2.39,45.40251445203541
Smallcap Stocks,3079489,1.36,-29.930779235317832
Banking & Finance Sector,2380321,1.05,-30.85794589231038
Gsecs - Bonds,2220338,0.98,-24.439028175187648
USA Market,2067988,0.92,66.30863458853653
Oil and Gas Sector,1555915,0.69,-38.810427021155604
Public Sector Enterprise,1548133,0.69,-30.785755608867603
Defence Sector,1529650,0.68,1.450544144732086
Low Volatility Index,1484364,0.66,22.559039319914593
Capital Markets & Insurance,1018616,0.45,234.20256570097445
NIFTYCASE,965804,0.43,59.08351932532264
Auto Sector,938659,0.42,-15.406632762954292
Reality Sector,845796,0.37,33.65464538211377
NBFC Sector,742437,0.33,478.51031666874457
ELM250,473236,0.21,213.8086522903902
GROWWPOWER,419050,0.19,-5.099554315530111
FMCG Sector,418159,0.19,-88.77831592755159
AONENIFTY,408827,0.18,-5.503677439337275
AONEGOLD,373434,0.17,-26.66217593583623
EV Sector,358465,0.16,39.311419599552295
MOENERGY,327227,0.14,470.46948274960346
China Market,318353,0.14,-57.208720279259694
SILVERAG,294174,0.13,1.0306587492659003
CASHIETF,292642,0.13,177.41470674667502
SML100CASE,285996,0.13,-63.783625664345486
Consumption Sector,233395,0.1,-73.77227690506237
GROWWSLVR,225097,0.1,30.593217880660227
Healthcare Sector,196078,0.09,-10.22069597069597
GROWWNIFTY,164160,0.07,-31.29282165682405
CHOICEGOLD,147919,0.07,35.84508853133495
SMALL250,137634,0.06,156.66013986013988
EVIETF,109480,0.05,8.91906680594936
Infra Sector,109324,0.05,-89.52179859624843
FLEXIADD,105460,0.05,-60.99505873302364
CHEMICAL,97876,0.04,-24.474898529252897
GROWWMOM50,93576,0.04,9.349693251533742
GROWWNET,92193,0.04,-42.63001014318695
GROWWSC250,91786,0.04,-44.74218115047711
GROWWLOVOL,82176,0.04,356.73632725655847
GROWWRLTY,62342,0.03,11.283268774209672
LTGILTCASE,61185,0.03,-64.02638711687823
Commodities,52803,0.02,-90.2605523133563
SBIBPB,40951,0.02,-9.630365221229173
MOMIDMTM,39524,0.02,-26.366972818898226
TOP15IETF,34729,0.02,-30.10867377742
Manufacturing Sector,27586,0.01,90.76135813567527
INTERNET,26633,0.01,-57.04146974853622
MOALPHA50,26179,0.01,1823.512123438648
SILVER360,25823,0.01,-7.669479405034325
GROWWNXT50,22695,0.01,1111.0458911419423
MID150,20625,0.01,98.89103182256508
MOGOLD,18963,0.01,-98.43424109863216
ENERGY,18911,0.01,204.37791727023983
QUALITY30,16916,0.01,2236.4640883977904
AONELIQUID,13201,0.01,-48.109276729559745
MOMENTUM30,11785,0.01,382.5962325962326
MOTOUR,10859,0.0,85.4020829776336
MOSILVER,10746,0.0,-97.41690143553552
AXISVALUE,9668,0.0,-39.358966317506116
LIQGRWBEES,8578,0.0,-96.80000596874615
Select IPO Index,8279,0.0,-78.62601332162957
MOIPO,4128,0.0,630.6194690265487
SNXT30BEES,4028,0.0,141.77671068427372
MONIFTY100,3698,0.0,45.87771203155819
MON50EQUAL,2748,0.0,171.27344521224086
SBILIQETF,2624,0.0,452.4210526315789
MONEXT50,1669,0.0,-34.47192775814684
MOINFRA,1636,0.0,0.5531653349723417
MOMGF,1599,0.0,583.3333333333333
GROWWMC150,1587,0.0,-13.562091503267974
ELIQUID,1041,0.0,
EQUAL50,827,0.0,-0.8393285371702638
MANUFGBEES,615,0.0,87.5
MOPSE,287,0.0,37.980769230769226
