SYMBOL,VOLUME,PERCENTAGE,% Change From Yesterday
Silver,132903290,39.41,45.64071528795372
Gold,79531496,23.58,-11.124892410118063
SILVERCASE,15829177,4.69,115.30237478761079
Largecap Stocks,14675032,4.35,-10.028703080224242
Midcap Stocks,13851139,4.11,-14.342367357540189
IT Sector,9196758,2.73,-40.69864725264118
Smallcap Stocks,9169643,2.72,-68.0927956086183
Low Volatility Index,7273824,2.16,31.008031595420693
Metal Sector,6715777,1.99,-24.886123089291623
Gsecs - Bonds,3704911,1.1,87.36947670316877
PSU Bank Sector,2606931,0.77,-58.71979850548098
Pharma Sector,2577152,0.76,-35.30765957820672
Banking & Finance Sector,2182013,0.65,-61.10113093063831
Defence Sector,2043348,0.61,-42.0748634965686
Consumption Sector,1739640,0.52,234.08806770716305
Public Sector Enterprise,1220470,0.36,-36.86798541074062
China Market,1215015,0.36,-3.9830348414791326
SILVERAG,860095,0.26,85.69226418068021
MOGOLD,855219,0.25,-59.55864480965275
USA Market,846226,0.25,-24.61386057467025
GROWWSLVR,796643,0.24,57.250378991251615
SML100CASE,688455,0.2,-29.02591625438527
Capital Markets & Insurance,686062,0.2,15.177745507046863
AONEGOLD,670473,0.2,104.25183849289279
Oil and Gas Sector,664596,0.2,-33.056667479204734
FMCG Sector,650369,0.19,-35.879004302542484
Auto Sector,585403,0.17,-25.04884475434225
Reality Sector,543142,0.16,-19.853442449748112
GROWWCAPM,508547,0.15,-31.33867091512975
CASHIETF,493749,0.15,-42.26744695902296
MOSILVER,448622,0.13,-6.368546717424698
NBFC Sector,441970,0.13,-6.2106753077538475
GROWWMOM50,346963,0.1,80.03196297276402
Infra Sector,333547,0.1,-66.76521111828522
GROWWNIFTY,332192,0.1,9.192149283265456
Healthcare Sector,322451,0.1,-40.45962918715505
GROWWPOWER,264648,0.08,-77.68912748780966
EV Sector,251648,0.07,-26.62360951145194
CHEMICAL,235591,0.07,68.22040857128576
SMALL250,181344,0.05,-86.18010280484228
GROWWNET,169847,0.05,-1.3767434298389252
NIFTYCASE,144834,0.04,-10.273947143441251
FLEXIADD,136579,0.04,3.8900087475754006
GROWWSC250,113791,0.03,-41.06688764015848
AONENIFTY,109031,0.03,-47.8891549450602
TOP15IETF,95695,0.03,-28.217803214990283
INTERNET,75670,0.02,61.44999893319678
EVIETF,71633,0.02,-46.03104045807278
SILVER360,61427,0.02,-3.6182197605636013
AONETMMQ50,56773,0.02,-5.1396013300138685
Commodities,53407,0.02,-90.91814992611336
ELM250,48224,0.01,94.01351786289025
MOMIDMTM,42922,0.01,18.425118640326673
GROWWRLTY,39932,0.01,-49.32423000291882
SBIBPB,31973,0.01,-16.375477323847885
LIQGRWBEES,30666,0.01,97.50112706897663
MID150,30204,0.01,-82.59606907638853
LTGILTCASE,27548,0.01,-83.83266918241947
MOENERGY,25205,0.01,-44.14899510292717
AONELIQUID,22949,0.01,-59.531283064117936
Manufacturing Sector,22385,0.01,-27.179570592062458
Select IPO Index,21730,0.01,16.023279406268355
CHOICEGOLD,21264,0.01,-89.34786746951738
ENERGY,19584,0.01,-93.74674708874421
MOTOUR,17687,0.01,-87.29035225133298
GROWWLOVOL,12047,0.0,-56.10493714702132
MOMENTUM30,8640,0.0,-39.137785291631445
GROWWNXT50,7780,0.0,-88.17772915147094
AXISVALUE,7486,0.0,-66.20621162874684
MON50EQUAL,7083,0.0,-37.56721022476862
MOALPHA50,5888,0.0,-39.88769780500255
QUALITY30,4972,0.0,-53.839012162287624
MOINFRA,4605,0.0,-44.491321118611374
MOSERVICE,4106,0.0,9.115067765081053
SNXT30BEES,3483,0.0,-55.91139240506329
MONEXT50,3436,0.0,-23.011427291059825
MSCIADD,2968,0.0,12.723129510064565
MONIFTY100,2849,0.0,-76.71434409480997
ELIQUID,2502,0.0,-28.514285714285712
ENIFTY,1799,0.0,44.15064102564102
MANUFGBEES,1362,0.0,-93.08067465962203
GROWWMC150,865,0.0,-54.4016868740116
MOPSE,640,0.0,-10.112359550561797
MOMNC,481,0.0,-66.98695950583391
MOIPO,475,0.0,-79.73549488054607
MOMGF,359,0.0,-73.34818114328137
SBILIQETF,194,0.0,-98.43333602519583
EQUAL50,178,0.0,-70.38269550748753
ESENSEX,111,0.0,-72.45657568238212
