SYMBOL,VOLUME,PERCENTAGE,% Change From Yesterday
Gold,41180077,20.04,0.0
Midcap Stocks,28252085,13.75,0.0
Largecap Stocks,18831777,9.16,0.0
Silver,13224465,6.43,0.0
IT Sector,11967176,5.82,0.0
Low Volatility Index,11434145,5.56,0.0
PSU Bank Sector,9444720,4.6,0.0
Gsecs - Bonds,8572736,4.17,0.0
Public Sector Enterprise,7766616,3.78,0.0
Banking & Finance Sector,7262109,3.53,0.0
Oil and Gas Sector,7255274,3.53,0.0
Smallcap Stocks,4864938,2.37,0.0
Defence Sector,4106914,2.0,0.0
Metal Sector,3299214,1.61,0.0
China Market,2579803,1.26,0.0
Pharma Sector,2346914,1.14,0.0
Auto Sector,2196122,1.07,0.0
USA Market,1595836,0.78,0.0
FMCG Sector,880825,0.43,0.0
EV Sector,759037,0.37,0.0
Reality Sector,473191,0.23,0.0
Healthcare Sector,349869,0.17,0.0
NBFC Sector,332671,0.16,0.0
Consumption Sector,310893,0.15,0.0
Infra Sector,194733,0.09,0.0
Commodities,147337,0.07,0.0
Capital Markets & Insurance,79872,0.04,0.0
Select IPO Index,43098,0.02,0.0
AXISVALUE,22185,0.01,0.0
Manufacturing Sector,16486,0.01,0.0
CASHIETF,1501,0.0,0.0
