SYMBOL,VOLUME,PERCENTAGE,% Change From Yesterday
Silver,180577689,41.16,181.2062788755772
Gold,119552876,27.25,89.89482970353849
SILVERCASE,16430243,3.74,144.89901381534946
Largecap Stocks,15617522,3.56,67.94932416555892
Metal Sector,14346536,3.27,74.22331981754475
IT Sector,12291658,2.8,54.07378048062028
Midcap Stocks,11542758,2.63,49.755395257832355
Banking & Finance Sector,5267824,1.2,159.43571339571227
Smallcap Stocks,4875089,1.11,105.25549737867202
PSU Bank Sector,4787108,1.09,81.65945029048919
Pharma Sector,4336827,0.99,-1.3591239740325551
Gsecs - Bonds,3582057,0.82,99.25522452569166
Auto Sector,2519853,0.57,319.5161298378276
Defence Sector,2117135,0.48,124.0669850889067
GROWWSLVR,1782654,0.41,646.5175296068611
Public Sector Enterprise,1570784,0.36,30.747435466310634
USA Market,1419446,0.32,-1.0271396068964989
Oil and Gas Sector,1173769,0.27,-33.42504788497849
Reality Sector,1050567,0.24,74.55454460867715
Low Volatility Index,928127,0.21,-45.67972984045604
AONEGOLD,891869,0.2,108.45609975575267
SILVERAG,764847,0.17,132.14817962454282
MOGOLD,748332,0.17,2883.18517042057
FMCG Sector,690144,0.16,79.00571401892915
NBFC Sector,640598,0.15,114.97226426301465
EV Sector,626736,0.14,63.47729916687969
Capital Markets & Insurance,523104,0.12,51.0372725146604
Healthcare Sector,456320,0.1,76.65800771949657
China Market,402788,0.09,-33.89841912736093
MOSILVER,348184,0.08,662.5079385936097
GROWWNET,338459,0.08,205.49322598406005
SML100CASE,338202,0.08,-24.66369511029731
GROWWPOWER,331006,0.08,1.1684592414642572
GROWWRLTY,327435,0.07,471.14076399790684
GROWWNIFTY,320932,0.07,54.884728797772276
CHOICEGOLD,281688,0.06,-7.162043247126911
AONENIFTY,278819,0.06,60.516634907110486
GROWWSC250,272069,0.06,204.40605524911334
Consumption Sector,257061,0.06,-15.770727935201448
NIFTYCASE,213971,0.05,25.396899815395436
AONETMMQ50,187401,0.04,71.44778372444078
GROWWMOM50,177533,0.04,49.42220127427133
CHEMICAL,163097,0.04,158.2160442030936
SILVER360,160480,0.04,380.07658250568386
LTGILTCASE,133697,0.03,-4.239485445794179
CASHIETF,129172,0.03,84.98331638717438
Infra Sector,110028,0.03,57.64227176342484
Commodities,85709,0.02,59.094537152191265
INTERNET,76494,0.02,0.2910635619886721
EVIETF,71458,0.02,-7.25521752673658
SMALL250,58660,0.01,39.776491052493625
SBIBPB,58033,0.01,65.11039034937977
TOP15IETF,46115,0.01,-67.49305663250202
FLEXIADD,44482,0.01,-82.31500771298167
AXISVALUE,41320,0.01,185.67477876106196
MOENERGY,39562,0.01,-79.89562106482776
MID150,34141,0.01,-68.40697728219128
MOMIDMTM,32701,0.01,-9.037552155771905
MOMENTUM30,30905,0.01,726.5579031826692
GROWWLOVOL,29810,0.01,92.31017353719115
ENERGY,28704,0.01,100.9239815203696
LIQGRWBEES,28417,0.01,-6.85699301845357
MOTOUR,23769,0.01,108.153078202995
MOSERVICE,19727,0.0,1009.5050618672666
MSCIADD,16485,0.0,
QUALITY30,15883,0.0,14606.481481481482
SBILIQETF,15274,0.0,860.62893081761
Manufacturing Sector,13724,0.0,-12.502390819254064
AONELIQUID,10841,0.0,-8.31359945872801
GROWWNXT50,9247,0.0,450.0892325996431
ELM250,8135,0.0,-98.08381287084168
Select IPO Index,8052,0.0,91.21348848254571
MON50EQUAL,6910,0.0,-19.029763299742207
MANUFGBEES,3646,0.0,43.82642998027613
MOINFRA,3444,0.0,2.0746887966804977
MONEXT50,3301,0.0,48.0933153880664
SNXT30BEES,2908,0.0,77.85932721712538
GROWWMC150,2765,0.0,156.4935064935065
ELIQUID,2002,0.0,-23.118279569892472
MONIFTY100,1902,0.0,-81.85287663390898
MOALPHA50,1495,0.0,-45.3382084095064
ESENSEX,1340,0.0,-33.92504930966469
ENIFTY,1032,0.0,-79.43813508667064
MOIPO,695,0.0,-82.17034376603387
MOPSE,607,0.0,-68.50025947067981
EQUAL50,304,0.0,-71.72093023255815
MOMGF,293,0.0,324.6376811594203
