SYMBOL,VOLUME,PERCENTAGE,% Change From Yesterday
Gold,71875230,27.94,-3.2563544421706565
Silver,64808830,25.2,-1.6068315028700548
IT Sector,20467878,7.96,-34.60144699474476
Largecap Stocks,14331189,5.57,46.214973680937646
Midcap Stocks,9968073,3.88,33.5979495116567
Metal Sector,8831052,3.43,-7.4630006121594015
PSU Bank Sector,7266759,2.83,62.8882453639643
SILVERCASE,5414680,2.11,-0.861049327426512
Low Volatility Index,5023392,1.95,195.81382201912658
Smallcap Stocks,3617766,1.41,4.524184843532949
Defence Sector,3217905,1.25,123.8494335078687
Pharma Sector,2833728,1.1,-56.6025643087223
NBFC Sector,2803246,1.09,700.5888938391765
Banking & Finance Sector,2784165,1.08,10.73421902200911
Capital Markets & Insurance,2769833,1.08,52.25228790719636
Gsecs - Bonds,2305931,0.9,16.458750096588908
Oil and Gas Sector,2273999,0.88,123.35011570208971
USA Market,2121557,0.82,-3.517481216770362
Public Sector Enterprise,1410695,0.55,53.16410342712275
China Market,1296171,0.5,-35.313093727245914
GROWWNIFTY,837219,0.33,432.2130329478924
Reality Sector,835198,0.32,76.26309524814494
Auto Sector,787059,0.31,98.40606416581169
FMCG Sector,624319,0.24,39.350387593438704
CHEMICAL,585932,0.23,
SILVERAG,503196,0.2,135.5312366892433
Commodities,447712,0.17,633.5332186450397
Infra Sector,428239,0.17,2.2335592516287366
AONEGOLD,424404,0.17,64.41865150082906
Consumption Sector,372773,0.14,2.8455632223230767
TOP15IETF,331190,0.13,928.5084314151735
EV Sector,296875,0.12,-24.94817473960967
SML100CASE,251148,0.1,28.225707633868396
GROWWSLVR,243738,0.09,-14.286618559311307
GROWWPOWER,225459,0.09,-31.93649471091146
AONENIFTY,211073,0.08,54.049891983418
Healthcare Sector,204161,0.08,-71.7306840210468
NIFTYCASE,200386,0.08,1.0692705758929923
GROWWNET,188110,0.07,-40.38813783836886
CASHIETF,174756,0.07,74.62503122658006
MOENERGY,153557,0.06,-63.922505644560665
SMALL250,142654,0.06,66.61683290896774
LTGILTCASE,138878,0.05,-8.077124191658779
GROWWSC250,120248,0.05,-30.171597804941786
GROWWMOM50,113736,0.04,56.376835505692135
FLEXIADD,112443,0.04,31.470763618506435
INTERNET,78893,0.03,-6.773412112259971
SBIBPB,75339,0.03,59.215114436061626
MOGOLD,72933,0.03,75.54336053144631
GROWWRLTY,61880,0.02,-15.476027865045758
EVIETF,55623,0.02,97.1398192450824
CHOICEGOLD,43734,0.02,-64.99459719053908
MOSILVER,39654,0.02,15.07922688490336
SILVER360,30144,0.01,-92.97742076767526
SBILIQETF,30075,0.01,4329.307805596465
AXISVALUE,26383,0.01,151.98662846227316
MID150,21787,0.01,-54.25686031619391
AONELIQUID,21453,0.01,117.8633086219153
MOTOUR,18761,0.01,159.09404778345532
LIQGRWBEES,17968,0.01,59.13559472145957
GROWWNXT50,17528,0.01,464.8727038349984
MONIFTY100,14952,0.01,215.04424778761063
ELM250,11873,0.0,-96.82987653793575
GROWWLOVOL,11847,0.0,-13.607525705534895
MOMIDMTM,10751,0.0,-72.00843574255363
MOMENTUM30,9076,0.0,62.623185808994805
ENERGY,8981,0.0,-99.10148578494686
EQUAL50,7171,0.0,-36.432940342168244
Manufacturing Sector,6372,0.0,-18.620689655172416
SNXT30BEES,5783,0.0,76.85015290519878
Select IPO Index,5278,0.0,-62.36451796919567
MON50EQUAL,4442,0.0,33.47355769230769
MOINFRA,2825,0.0,204.09041980624326
MOALPHA50,2717,0.0,28.889943074003792
MOPSE,2637,0.0,427.4
MANUFGBEES,2434,0.0,-45.14311471715123
QUALITY30,2432,0.0,-11.724137931034482
MONEXT50,1495,0.0,-79.10259994408723
MOIPO,1127,0.0,
GROWWMC150,907,0.0,-64.1785150078989
MOMGF,347,0.0,-36.446886446886445
