SYMBOL,VOLUME,PERCENTAGE,% Change From Yesterday
Silver,182459003,40.11,53.401219390820465
Gold,154828947,34.03,1.7502101508048522
SILVERCASE,20158243,4.43,54.47416006741669
Largecap Stocks,15615140,3.43,51.569381803392545
Midcap Stocks,10272376,2.26,8.288854162010725
Metal Sector,7942383,1.75,-66.91842356687499
IT Sector,5611105,1.23,-8.19881627607311
Low Volatility Index,4471498,0.98,-62.93267305409296
Gsecs - Bonds,3166434,0.7,61.170222512689264
Smallcap Stocks,2883390,0.63,2.0633981771245375
PSU Bank Sector,2808703,0.62,-17.63010628570155
MOGOLD,2330994,0.51,6561.50548696845
Oil and Gas Sector,2229674,0.49,111.47961579063681
Pharma Sector,1966538,0.43,-0.13173316974179486
Healthcare Sector,1949979,0.43,841.4276058513976
Banking & Finance Sector,1695641,0.37,-54.832951756120885
GROWWPOWER,1694464,0.37,-28.897422964627133
Defence Sector,1662533,0.37,-7.756101431319469
MOSILVER,976323,0.21,1413.1864044264657
Public Sector Enterprise,911008,0.2,-39.004748348255056
AONEGOLD,872463,0.19,-47.33081154436835
USA Market,801149,0.18,14.052141033908896
SILVERAG,793491,0.17,26.04038103225622
GROWWSLVR,651715,0.14,36.1264691691192
China Market,588091,0.13,-68.77375787371577
Auto Sector,560188,0.12,115.78724354974153
FMCG Sector,538206,0.12,-63.22182011010097
GOLDADD,516676,0.11,125.81894309902492
NBFC Sector,485206,0.11,19.29055939499881
NIFTYCASE,405204,0.09,6.049360098406135
SML100CASE,403505,0.09,-33.364985261210975
EV Sector,393025,0.09,107.2741751750907
Consumption Sector,368301,0.08,-12.672526419867836
SILVER360,339073,0.07,693.5244558857946
LTGILTCASE,312961,0.07,320.86146149915277
GROWWNET,301182,0.07,-24.89807521114328
AONENIFTY,289679,0.06,50.1876834060909
Capital Markets & Insurance,289501,0.06,-8.535980462468288
Infra Sector,288473,0.06,-7.036257641625873
CHEMICAL,279257,0.06,-42.51546434195494
GROWWNIFTY,249317,0.05,16.34614935904316
Reality Sector,240463,0.05,-57.67554590225683
GROWWCAPM,220491,0.05,-1.3542533487235928
SBILIQETF,219258,0.05,113.00833543824199
GROWWMOM50,197202,0.04,120.16031795650426
FLEXIADD,155843,0.03,-15.667090559809518
GROWWSC250,149481,0.03,51.95791399817017
Commodities,99556,0.02,26.978215397173617
INTERNET,98117,0.02,-70.19984813971146
CASHIETF,97411,0.02,6.514821821044689
MOENERGY,85160,0.02,-16.959201185739918
GROWWRLTY,75089,0.02,66.21436160793341
AONETMMQ50,56315,0.01,76.04489043108569
TOP15IETF,54669,0.01,14.920855142839123
SMALL250,51093,0.01,-64.09814985278928
EVIETF,48202,0.01,-27.43940990516333
ITADD,37036,0.01,143.3057416896597
SBIBPB,30133,0.01,24.758829130956816
AXISVALUE,26341,0.01,41.51936818352765
MONIFTY100,25779,0.01,668.3755588673622
CHOICEGOLD,25741,0.01,-74.43869596734953
MOMIDMTM,23882,0.01,-0.42943506358140504
MOINFRA,20069,0.0,395.28627838104643
ELM250,17761,0.0,-9.947776707397454
AONELIQUID,13876,0.0,-49.96935280331711
SILVERBND,13421,0.0,182.36903008626132
GROWWNXT50,12901,0.0,103.0694160239257
ENERGY,12602,0.0,-60.42334024244709
GROWWLOVOL,12397,0.0,-47.9926165205353
NIFTYADD,12177,0.0,29.929577464788732
LIQGRWBEES,11915,0.0,-45.301381811504385
MOTOUR,11759,0.0,-15.183208309290247
MID150,11742,0.0,-45.39112640684588
Manufacturing Sector,8164,0.0,159.17460317460316
MSCIADD,8143,0.0,292.43373493975906
Select IPO Index,7560,0.0,-63.8588775217516
MOMENTUM30,7507,0.0,-23.1076513366793
MON50EQUAL,7262,0.0,-88.60040185859602
QUALITY30,6472,0.0,47.02407996365289
MOMNC,6294,0.0,168.28644501278774
GOLDBND,6016,0.0,75.29137529137529
SNXT30BEES,5622,0.0,-31.813220133414188
BANKADD,5113,0.0,1308.5399449035813
ELIQUID,4500,0.0,79.2828685258964
MOALPHA50,3663,0.0,-44.10193804364413
ENIFTY,3217,0.0,-92.97690258918045
MOIPO,2750,0.0,-70.0468358566605
MOSERVICE,2127,0.0,-54.44420646819448
MANUFGBEES,2087,0.0,-29.683288409703508
MONEXT50,1722,0.0,-63.96735718769617
GROWWMC150,1148,0.0,79.375
MOPSE,343,0.0,-92.17609489051095
EQUAL50,295,0.0,17.52988047808765
MOMGF,176,0.0,-75.41899441340783
ESENSEX,129,0.0,-85.73008849557522
