SYMBOL,VOLUME,PERCENTAGE,% Change From Yesterday
Gold,90137319,28.76,-16.039320587187824
Silver,65639413,20.94,-18.16715706969777
IT Sector,33266155,10.61,122.71580120608488
Metal Sector,13063843,4.17,-33.14387637323074
Oil and Gas Sector,11431475,3.65,745.952532127988
Midcap Stocks,11288060,3.6,-9.850922585610022
Largecap Stocks,10798234,3.44,3.3688239949854095
Low Volatility Index,9087061,2.9,-65.67733550339854
SILVERCASE,7466455,2.38,10.31244768936395
Pharma Sector,6897997,2.2,201.51329316651166
Smallcap Stocks,5136218,1.64,199.60672453217603
Banking & Finance Sector,4114804,1.31,48.626198683141666
Public Sector Enterprise,3822614,1.22,131.6584126614743
Defence Sector,3061309,0.98,-39.038393372762215
Capital Markets & Insurance,2943986,0.94,741.3936792285664
PSU Bank Sector,2730101,0.87,-22.934364525600934
Gsecs - Bonds,2598972,0.83,66.93313738764489
USA Market,1331519,0.42,10.75971847552216
EV Sector,1200124,0.38,139.97344568262392
Auto Sector,1047660,0.33,82.13205382288515
MOGOLD,877834,0.28,2092.830735411671
FMCG Sector,749138,0.24,36.2765340110129
CASHIETF,572439,0.18,711.7629541393686
Reality Sector,547491,0.17,-39.78175890749666
GROWWSC250,544599,0.17,135.431004668857
ELM250,543385,0.17,2392.591743119266
China Market,537585,0.17,97.24415515799052
NBFC Sector,489372,0.16,-51.66385990211717
Consumption Sector,460743,0.15,40.32411327213698
AONENIFTY,394249,0.13,94.6447261883603
GROWWPOWER,363836,0.12,-2.1530650114833723
NIFTYCASE,347083,0.11,-4.97697543133422
AONEGOLD,344751,0.11,-77.49609813826854
MOSILVER,308987,0.1,-89.90884264251828
SILVERAG,304081,0.1,-46.16167732523141
GROWWSLVR,278068,0.09,-63.15179206791134
SILVER360,270477,0.09,477.38712776176754
SML100CASE,267716,0.09,66.24915390013227
Healthcare Sector,265987,0.08,-30.684897950674422
FLEXIADD,238020,0.08,187.13086276780544
GROWWNIFTY,237454,0.08,29.788199283976937
GROWWRLTY,235752,0.08,269.1816217231983
GROWWMOM50,155596,0.05,-46.76638532411415
TOP15IETF,125137,0.04,133.35135941520903
LTGILTCASE,118006,0.04,-20.130762306343865
CHOICEGOLD,113544,0.04,24.53004014126215
SBIBPB,96907,0.03,163.22694553850332
EVIETF,88670,0.03,37.62436170047649
Infra Sector,87648,0.03,-71.37837573065995
GROWWNET,84262,0.03,-39.27150599630996
LIQGRWBEES,67701,0.02,73.68137506413545
MOMIDMTM,66964,0.02,1.0548555044140948
AXISVALUE,57679,0.02,-5.55109793839755
Commodities,56443,0.02,81.30802094375382
GROWWLOVOL,47120,0.02,-15.845120731533077
INTERNET,42494,0.01,-9.193093426788614
MID150,35260,0.01,373.9884393063584
Manufacturing Sector,34767,0.01,316.02249611104463
QUALITY30,30347,0.01,-24.519338390747418
MOENERGY,29060,0.01,-29.099470563837315
MOALPHA50,24358,0.01,1069.9327569644572
AONELIQUID,23554,0.01,27.65011922826794
MOMENTUM30,15082,0.0,81.79845708775314
MOTOUR,11905,0.0,-46.412495498739645
MON50EQUAL,11615,0.0,481.3313313313313
GROWWNXT50,10726,0.0,190.44137557541293
Select IPO Index,10559,0.0,-47.69665147612443
MANUFGBEES,6808,0.0,1216.8278529980657
MOINFRA,6535,0.0,120.5534930813365
SNXT30BEES,6303,0.0,-20.275739944346068
SBILIQETF,3610,0.0,-96.68676633901447
MONEXT50,2760,0.0,43.07931570762053
MONIFTY100,2328,0.0,-66.01459854014598
MOMGF,1911,0.0,40.308370044052865
EQUAL50,1154,0.0,24.219590958019378
MOPSE,1066,0.0,8.223350253807107
ELIQUID,248,0.0,12300.0
