SYMBOL,VOLUME,PERCENTAGE,% Change From Yesterday
Silver,315662241,48.01,47.723514946154886
Gold,184044512,27.99,-1.014238196629911
SILVERCASE,33184125,5.05,43.80504176393137
Metal Sector,14083433,2.14,-67.06282826677854
Midcap Stocks,11649901,1.77,-0.6702216513814033
Largecap Stocks,9613960,1.46,22.59356214074702
Public Sector Enterprise,9031373,1.37,107.54252998395755
Defence Sector,8953915,1.36,231.3085479822881
IT Sector,7659092,1.16,-41.82465436823693
ENERGY,5120919,0.78,1760.2380096119266
Pharma Sector,2834517,0.43,-19.190334486433354
SILVERBETA,2814551,0.43,28.357365604588946
Smallcap Stocks,2653221,0.4,-7.019626231107598
GROWWSLVR,2362163,0.36,168.64344422166445
Gsecs - Bonds,2037489,0.31,-45.287635529636
PSU Bank Sector,1516332,0.23,-8.726782643346128
SML100CASE,1367774,0.21,140.8451398646959
Banking & Finance Sector,1159065,0.18,-42.04561988958785
USA Market,1119932,0.17,26.174735580281293
GOLDBETA,928668,0.14,-38.936684490290816
Low Volatility Index,886112,0.13,-58.952865223528065
Oil and Gas Sector,867972,0.13,-16.326902443468228
MOGOLD,796864,0.12,-20.786032104528594
GROWWMETAL,781667,0.12,-40.98671182376651
AONEGOLD,754411,0.11,-28.73926830351113
SILVERAG,741151,0.11,8.869675323053782
FMCG Sector,712791,0.11,-55.77467882257903
China Market,683146,0.1,-40.09467052972002
GROWWPOWER,631258,0.1,-95.8876469215201
Auto Sector,575975,0.09,51.3620548290796
SILVER360,574077,0.09,92.94046870851412
GOLDADD,560824,0.09,19.224563290695226
NBFC Sector,496552,0.08,40.03395432522829
Capital Markets & Insurance,426169,0.06,-89.23770270109875
Reality Sector,424195,0.06,-89.29373128210719
Consumption Sector,387928,0.06,107.69024852501848
MOSILVER,373022,0.06,-27.953259295026555
EV Sector,350473,0.05,47.582492546615235
NIFTYCASE,336564,0.05,-31.005387321345108
Healthcare Sector,331130,0.05,58.748346021822925
GROWWNIFTY,299075,0.05,51.45952132562215
CHEMICAL,275514,0.04,-24.42934022349127
GROWWCAPM,274978,0.04,-22.884842434117353
GROWWMOM50,260863,0.04,-7.33602117116317
SMALL250,236771,0.04,-3.1128006612706547
AONENIFTY,194432,0.03,10.352969220902317
EVIETF,190059,0.03,214.69847998145514
NIFTYBETA,177772,0.03,472.73752376043046
GROWWNET,173050,0.03,137.59834141117352
Infra Sector,166590,0.03,28.32877556522744
FLEXIADD,164001,0.02,-15.5408954670457
MOENERGY,159634,0.02,-84.52110489566091
GROWWSC250,127077,0.02,0.6183885475391145
GROWWRLTY,121747,0.02,74.87862334453733
LTGILTCASE,107709,0.02,35.52052140214902
Commodities,105830,0.02,124.13537497087914
MOMIDMTM,96107,0.01,-70.941124535878
CASHIETF,73295,0.01,-79.97836532551716
AONETMMQ50,69795,0.01,60.46303108331801
NEXT50BETA,48573,0.01,-25.026625711948387
SILVERBND,47902,0.01,54.01086711892743
TOP15IETF,45316,0.01,50.81705328318967
AXISVALUE,43659,0.01,-67.43421052631578
BANKADD,39352,0.01,1410.6333973128599
MID150,36199,0.01,-91.89384676707826
Select IPO Index,32653,0.0,368.61366245694603
TOP20,32451,0.0,-12.681627381336776
CHOICEGOLD,30203,0.0,42.35953996983409
SBIBPB,30000,0.0,-18.877261296341363
INTERNET,28694,0.0,-41.905571752510525
LIQGRWBEES,28321,0.0,0.5110551158746496
GROWWLOVOL,26633,0.0,17.32082287123915
BANKBETA,25268,0.0,90.28541305821221
ELM250,23940,0.0,106.82505399568034
ITADD,12000,0.0,-6.4983637213651235
Manufacturing Sector,10317,0.0,-5.755001370238421
SBILIQETF,10101,0.0,-86.89390302448392
GROWWNXT50,9694,0.0,-41.89991009889122
AONELIQUID,8797,0.0,18.65389803075263
MOPSE,8789,0.0,205.5980528511822
MOTOUR,7908,0.0,-21.446309724843548
ELIQUID,7270,0.0,188.4920634920635
GOLDBND,7210,0.0,-64.8138207017715
MOMENTUM30,7070,0.0,-12.108403779214322
MOINFRA,6878,0.0,453.78421900161027
MOSERVICE,6442,0.0,299.38003719776816
GILT10BETA,6319,0.0,90.21673690547863
NIFTYADD,4203,0.0,-72.30860455923046
SNXT30BEES,3581,0.0,147.4775397373877
MOALPHA50,3320,0.0,40.79728583545377
DIVIDEND,3303,0.0,-74.93359641800106
MONEXT50,3021,0.0,-68.33665234252176
MON50EQUAL,2596,0.0,-1.180053292729349
MONIFTY100,2593,0.0,257.1625344352617
MOIPO,2487,0.0,-41.052382081061864
MANUFGBEES,2463,0.0,29.63157894736842
GROWWMC150,2440,0.0,163.49892008639307
QUALITY30,2114,0.0,-92.36216489630755
SMALLADD,1904,0.0,-83.97576165628682
SNXT50BETA,1732,0.0,-26.516758591429785
MIDCAPBETA,1280,0.0,-58.455047062641995
SENSEXBETA,1088,0.0,-40.448823207443894
ENIFTY,873,0.0,68.8588007736944
MIDCAPADD,864,0.0,305.6338028169014
ITBETA,682,0.0,-35.10941960038059
EQUAL50,530,0.0,231.25
ESENSEX,474,0.0,241.00719424460434
MSCIADD,432,0.0,-58.098933074684766
GILT5BETA,289,0.0,4716.666666666666
MOMNC,263,0.0,-76.22061482820976
MOMGF,47,0.0,-98.11017289907518
