SYMBOL,VOLUME,PERCENTAGE,% Change From Yesterday
Gold,108693276,31.99,20.586320079034078
Silver,108207571,31.84,64.85152144794469
IT Sector,19017041,5.6,-42.833666830446745
SILVERCASE,11679076,3.44,56.42063067412848
Midcap Stocks,11167130,3.29,-1.0713089760330827
Metal Sector,11081148,3.26,-15.176965920365088
Largecap Stocks,10268902,3.02,-4.902023793890741
Pharma Sector,9248212,2.72,34.0709774156179
Low Volatility Index,4354889,1.28,-52.07593522262039
Healthcare Sector,3661151,1.08,1276.439826006534
Smallcap Stocks,3314201,0.98,-35.47390317155541
Gsecs - Bonds,3116611,0.92,19.917067209650586
PSU Bank Sector,2411514,0.71,-11.669421753993717
Defence Sector,2155232,0.63,-29.597698239543934
Banking & Finance Sector,2062265,0.61,-49.881816971112116
USA Market,1982202,0.58,48.86772175237454
Oil and Gas Sector,1746741,0.51,-84.71989835082525
Public Sector Enterprise,1685525,0.5,-55.90648179491835
Auto Sector,839532,0.25,-19.865987056869592
FMCG Sector,824287,0.24,10.031396084566529
GROWWSLVR,787065,0.23,183.04767179251118
AONEGOLD,729671,0.21,111.65159781987579
Capital Markets & Insurance,674142,0.2,-77.101045996822
NBFC Sector,657225,0.19,34.29967386773252
SILVER360,568599,0.17,110.22083208553777
China Market,518061,0.15,-3.631797762214348
GROWWNET,517685,0.15,514.3754005364221
EV Sector,512316,0.15,-57.31141115418074
Reality Sector,497980,0.15,-9.043253679055912
SILVERAG,450675,0.13,48.20886540099513
FLEXIADD,413378,0.12,73.67364087051507
GROWWPOWER,283297,0.08,-22.136072296309326
Consumption Sector,268425,0.08,-41.740840338323096
NIFTYCASE,268011,0.08,-22.78187061884333
AONENIFTY,221379,0.07,-43.84792352041476
GROWWMOM50,217306,0.06,39.660402581043215
Infra Sector,190920,0.06,117.82584884994523
TOP15IETF,165125,0.05,31.955376906910026
SML100CASE,151947,0.04,-43.24321295701415
GROWWSC250,143666,0.04,-73.61985607759104
GROWWNIFTY,142145,0.04,-40.13787933662941
GROWWRLTY,120017,0.04,-49.09184227493298
CHOICEGOLD,108758,0.03,-4.215106038187839
INTERNET,93503,0.03,120.03812302913353
MOSILVER,82052,0.02,-73.44483748507218
CASHIETF,78279,0.02,-86.32535519068408
SMALL250,77062,0.02,
SBIBPB,69201,0.02,-28.590297914495338
ENERGY,67624,0.02,
EVIETF,61589,0.02,-30.54133303259276
MOGOLD,61502,0.02,-92.9938917836402
ELM250,55537,0.02,-89.77943815158682
Commodities,48757,0.01,-13.61727760749783
LIQGRWBEES,40923,0.01,-39.55333008375061
MOENERGY,35477,0.01,22.081899518238128
AXISVALUE,28975,0.01,-49.765079144922765
GROWWLOVOL,28814,0.01,-38.849745331069606
MOMIDMTM,26607,0.01,-60.26671047129801
LTGILTCASE,20668,0.01,-82.48563632357677
AONELIQUID,18373,0.01,-21.99626390422009
Manufacturing Sector,15151,0.0,-56.42131906693129
MID150,13753,0.0,-60.995462280204194
MOMENTUM30,12703,0.0,-15.773770057021617
MON50EQUAL,12574,0.0,8.256564786913474
SNXT30BEES,7917,0.0,25.60685387910519
Select IPO Index,7476,0.0,-29.197840704612176
MOMGF,7403,0.0,287.38880167451595
MOTOUR,4885,0.0,-58.96682066358673
MOALPHA50,4432,0.0,-81.8047458740455
MANUFGBEES,3920,0.0,-42.42068155111633
MONIFTY100,3704,0.0,59.106529209621996
MOPSE,3564,0.0,234.33395872420263
GROWWNXT50,3372,0.0,-68.56237180682454
MOINFRA,2470,0.0,-62.203519510328995
MONEXT50,2417,0.0,-12.427536231884059
QUALITY30,2005,0.0,-93.39308663129799
SBILIQETF,563,0.0,-84.40443213296399
EQUAL50,163,0.0,-85.87521663778162
