SYMBOL,VOLUME,PERCENTAGE,% Change From Yesterday
Gold,76025149,32.11,0.0
Silver,54598802,23.06,0.0
Metal Sector,14075173,5.95,0.0
Midcap Stocks,11918498,5.03,0.0
Largecap Stocks,11665356,4.93,0.0
SILVERCASE,6602183,2.79,0.0
IT Sector,6346696,2.68,0.0
PSU Bank Sector,4629493,1.96,0.0
Gsecs - Bonds,3939190,1.66,0.0
Low Volatility Index,3823570,1.62,0.0
Oil and Gas Sector,3115317,1.32,0.0
MOGOLD,3048537,1.29,0.0
Smallcap Stocks,3029118,1.28,0.0
USA Market,2934141,1.24,0.0
Reality Sector,2744597,1.16,0.0
Pharma Sector,2648122,1.12,0.0
Defence Sector,1975686,0.83,0.0
Public Sector Enterprise,1818390,0.77,0.0
MOSILVER,1453973,0.61,0.0
Banking & Finance Sector,1321166,0.56,0.0
FMCG Sector,988204,0.42,0.0
Auto Sector,802056,0.34,0.0
AONEGOLD,551112,0.23,0.0
Capital Markets & Insurance,549831,0.23,0.0
NBFC Sector,420075,0.18,0.0
GROWWPOWER,358362,0.15,0.0
SML100CASE,316562,0.13,0.0
China Market,315249,0.13,0.0
ELM250,300335,0.13,0.0
Healthcare Sector,281690,0.12,0.0
EV Sector,275059,0.12,0.0
Consumption Sector,271439,0.11,0.0
GROWWSC250,245321,0.1,0.0
CASHIETF,236682,0.1,0.0
NIFTYCASE,232325,0.1,0.0
FLEXIADD,215926,0.09,0.0
GROWWNET,211114,0.09,0.0
GROWWSLVR,190024,0.08,0.0
GROWWMOM50,162032,0.07,0.0
AONENIFTY,155010,0.07,0.0
GROWWRLTY,150275,0.06,0.0
SILVERAG,148954,0.06,0.0
EVIETF,148602,0.06,0.0
GROWWNIFTY,140606,0.06,0.0
LTGILTCASE,99065,0.04,0.0
Infra Sector,92143,0.04,0.0
Commodities,86534,0.04,0.0
MOENERGY,63181,0.03,0.0
MOMENTUM30,56882,0.02,0.0
AXISVALUE,44611,0.02,0.0
Manufacturing Sector,41389,0.02,0.0
TOP15IETF,40495,0.02,0.0
INTERNET,40249,0.02,0.0
SBIBPB,39571,0.02,0.0
MOMIDMTM,32664,0.01,0.0
MID150,27878,0.01,0.0
SILVER360,16614,0.01,0.0
Select IPO Index,15868,0.01,0.0
GROWWLOVOL,14693,0.01,0.0
AONELIQUID,13801,0.01,0.0
LIQGRWBEES,12896,0.01,0.0
MOPSE,9458,0.0,0.0
MOTOUR,8653,0.0,0.0
MANUFGBEES,7033,0.0,0.0
MOINFRA,6656,0.0,0.0
MON50EQUAL,5310,0.0,0.0
GROWWNXT50,4668,0.0,0.0
QUALITY30,3439,0.0,0.0
MOALPHA50,2876,0.0,0.0
SNXT30BEES,1993,0.0,0.0
MONIFTY100,1622,0.0,0.0
MONEXT50,1523,0.0,0.0
EQUAL50,530,0.0,0.0
MOMGF,293,0.0,0.0
SBILIQETF,102,0.0,0.0
ELIQUID,1,0.0,0.0
