SYMBOL,VOLUME,PERCENTAGE,% Change From Yesterday
Gold,152165727,37.91,-8.34487371861427
Silver,118942342,29.63,-31.000948726975746
Metal Sector,24008478,5.98,36.80767849148946
SILVERCASE,13049589,3.25,-14.934803132401273
Low Volatility Index,12063179,3.01,-45.150546851800414
Largecap Stocks,10302305,2.57,-10.710280338191918
Midcap Stocks,9486088,2.36,28.150842111818747
IT Sector,6112236,1.52,17.397765418281576
Banking & Finance Sector,3754155,0.94,102.10870242848829
PSU Bank Sector,3409866,0.85,46.39235982166048
Smallcap Stocks,2825097,0.7,-2.4497227595456144
GROWWPOWER,2383126,0.59,1096.0841982694585
Pharma Sector,1969132,0.49,-62.28966262139176
Gsecs - Bonds,1964652,0.49,-61.80830906808015
China Market,1883323,0.47,299.0666028156599
Defence Sector,1802323,0.45,-17.970222428347178
AONEGOLD,1656496,0.41,87.23138758403675
Public Sector Enterprise,1493572,0.37,16.435158838433054
FMCG Sector,1463384,0.36,115.237397649336
Oil and Gas Sector,1054321,0.26,-4.648291879122887
USA Market,702441,0.18,-51.690260763832526
SILVERAG,629553,0.16,29.38111913980616
SML100CASE,605545,0.15,7.591428150080221
Reality Sector,568142,0.14,61.207963044934
CHEMICAL,485795,0.12,-53.25005894325569
GROWWSLVR,478757,0.12,-34.09055240602104
Consumption Sector,421747,0.11,31.678250064005297
NBFC Sector,406743,0.1,18.36621259432356
GROWWNET,401031,0.1,-32.41696017796053
NIFTYCASE,382090,0.1,99.5331397656299
INTERNET,329250,0.08,44.71000861447584
Capital Markets & Insurance,316519,0.08,-26.00062656055661
Infra Sector,310307,0.08,-23.647185614597994
Auto Sector,259602,0.06,-64.86604266929402
GOLDADD,228801,0.06,-60.57962175209721
GROWWCAPM,223518,0.06,-40.16591578930461
GROWWNIFTY,214289,0.05,-18.286093432427176
Healthcare Sector,207130,0.05,-69.09259389133689
AONENIFTY,192878,0.05,54.24317062248096
EV Sector,189616,0.05,-43.314449709271905
FLEXIADD,184795,0.05,-17.3202629000434
SMALL250,142313,0.04,114.90290235873275
SBILIQETF,102934,0.03,-42.94345563087907
MOENERGY,102552,0.03,167.28523769808174
CHOICEGOLD,100703,0.03,123.35758328527702
GROWWSC250,98370,0.02,-27.61536140810455
CASHIETF,91453,0.02,-86.7840957698933
GROWWMOM50,89572,0.02,-30.973683196547608
Commodities,78404,0.02,-35.36515997131151
LTGILTCASE,74362,0.02,-46.41271762942465
EVIETF,66430,0.02,47.65175257273677
MOSILVER,64521,0.02,-46.5943234585682
MON50EQUAL,63704,0.02,5125.922887612797
TOP15IETF,47571,0.01,-30.239617550445804
ENIFTY,45806,0.01,5780.1026957638
GROWWRLTY,45176,0.01,-47.128562233015394
SILVER360,42730,0.01,-52.98867899618232
MOGOLD,34992,0.01,-86.44991906816088
AONETMMQ50,31989,0.01,15.41708760282869
ENERGY,31842,0.01,-55.7301152557454
AONELIQUID,27735,0.01,24.027367856184597
SBIBPB,24153,0.01,-60.42438145174505
MOMIDMTM,23985,0.01,-29.773964982139724
GROWWLOVOL,23837,0.01,46.355989439430225
LIQGRWBEES,21783,0.01,-63.876220958193066
MID150,21502,0.01,11.669696182809659
Select IPO Index,20918,0.01,-34.341944191594216
ELM250,19723,0.0,-94.38764331101443
AXISVALUE,18613,0.0,-68.05512648886143
ITADD,15222,0.0,14.666666666666666
MOTOUR,13864,0.0,-0.6805645103517444
MOMENTUM30,9763,0.0,-24.940416698700698
NIFTYADD,9372,0.0,-98.97420854694867
MOIPO,9181,0.0,4054.2986425339363
SNXT30BEES,8245,0.0,141.43484626647145
MOALPHA50,6553,0.0,-25.91294516676088
GROWWNXT50,6353,0.0,-64.86949789869499
MONEXT50,4779,0.0,30.21798365122616
SILVERBND,4753,0.0,-78.4708067219278
MOSERVICE,4669,0.0,292.02350965575147
QUALITY30,4402,0.0,395.1631046119235
MOPSE,4384,0.0,1443.661971830986
MOINFRA,4052,0.0,-53.43599172603999
GOLDBND,3432,0.0,-53.43283582089552
MONIFTY100,3355,0.0,500.17889087656533
Manufacturing Sector,3150,0.0,-72.01492537313433
MANUFGBEES,2968,0.0,-62.8396143733567
ELIQUID,2510,0.0,0.4
MOMNC,2346,0.0,168.42105263157893
MSCIADD,2075,0.0,-91.07948927389192
ESENSEX,904,0.0,72.848948374761
MOMGF,716,0.0,-12.254901960784313
GROWWMC150,640,0.0,7.38255033557047
BANKADD,363,0.0,-76.03960396039604
EQUAL50,251,0.0,-73.26943556975506
