SYMBOL,VOLUME,PERCENTAGE,% Change From Yesterday
Silver,411778283,46.36,-57.32682615118048
Gold,216442043,24.37,-23.71792134763884
Metal Sector,56085887,6.31,-18.1069843599152
SILVERCASE,45971043,5.18,-51.094207440835284
Midcap Stocks,27594110,3.11,23.201999798816413
Largecap Stocks,16402617,1.85,-17.24401869361162
Banking & Finance Sector,15336278,1.73,803.0928721377699
IT Sector,11625248,1.31,-62.12199740962346
NBFC Sector,11099647,1.25,4355.810601954999
PSU Bank Sector,7675389,0.86,285.50112103569234
SILVERBETA,4447606,0.5,-57.92353154259773
Pharma Sector,3459641,0.39,0.8344185330742067
Smallcap Stocks,3186624,0.36,-52.38808572590141
Defence Sector,2847594,0.32,-22.558553727088217
Public Sector Enterprise,2610054,0.29,-61.272163808532355
GROWWSLVR,2047036,0.23,-72.48010522712858
Gsecs - Bonds,1948330,0.22,-43.48166496627895
Low Volatility Index,1857723,0.21,-33.535178478215215
SML100CASE,1725014,0.19,300.37925472037506
SILVERAG,1316471,0.15,-27.41189158907774
MOGOLD,1305636,0.15,-42.18610724765902
GROWWMETAL,1290327,0.15,-39.52518208149377
NIFTYADD,1255675,0.14,20387.43677598303
Oil and Gas Sector,1183255,0.13,52.12296291725163
USA Market,1127034,0.13,-41.43279030817271
ENERGY,985621,0.11,15.676563202351037
GOLDBETA,933038,0.11,-54.75225077773979
AONEGOLD,902053,0.1,-54.72537433440925
Auto Sector,884615,0.1,8.004742067658707
BANKADD,723671,0.08,39444.86338797814
MOSILVER,697929,0.08,-51.6481148813561
NIFTYCASE,604810,0.07,113.320306713412
FMCG Sector,590807,0.07,-10.143558717020964
SBILIQETF,569293,0.06,50.110217534607784
Reality Sector,529479,0.06,79.97613819452471
Healthcare Sector,397780,0.04,13.70373228828118
EV Sector,390325,0.04,-27.913694043426307
GOLDADD,359269,0.04,-75.90191171410346
GROWWPOWER,340099,0.04,-67.08422051023963
GROWWNIFTY,339662,0.04,37.71179053465074
Capital Markets & Insurance,284186,0.03,-42.94542205804114
China Market,277674,0.03,-84.90344257660439
AONENIFTY,265258,0.03,-28.62366904984218
SILVER360,227106,0.03,-55.174088109900524
GROWWMOM50,222864,0.03,23.200070758889087
SILVERBND,220402,0.02,57.4120100559936
CHOICEGOLD,201702,0.02,29.644365314530695
GROWWNET,187418,0.02,5.301068079535686
CHEMICAL,179646,0.02,-12.735168534413663
MOENERGY,174048,0.02,129.57237449547577
Consumption Sector,173593,0.02,-55.729059077056476
GROWWCAPM,161117,0.02,-43.60998043532282
FLEXIADD,137912,0.02,-29.058707941749873
GROWWRLTY,134805,0.02,25.837798480294232
GROWWSC250,116406,0.01,17.899790343654097
Commodities,108129,0.01,-62.4675888161891
Infra Sector,106646,0.01,-61.09656002626491
CASHIETF,97943,0.01,427.1137183144072
AONETMMQ50,97782,0.01,21.104258006985212
MID150,91881,0.01,101.74117337080627
LTGILTCASE,90395,0.01,-49.64207125149717
SMALL250,81100,0.01,-60.18537610337075
INTERNET,77465,0.01,71.87326662377139
EVIETF,77355,0.01,-64.48020938561851
NIFTYBETA,70578,0.01,-89.83863443962613
NEXT50BETA,69154,0.01,71.29622749002998
SBIBPB,63513,0.01,89.30849478390462
ITADD,46051,0.01,-63.537823243440116
LIQGRWBEES,38942,0.0,52.57610782431532
BANKBETA,31301,0.0,29.08161161285002
GROWWLOVOL,28899,0.0,-12.80248627119667
MOMENTUM30,28521,0.0,32.68049869743208
TOP15IETF,25258,0.0,-81.99984321662474
AXISVALUE,24013,0.0,-42.33743156277014
MOMIDMTM,17308,0.0,-78.67317265513333
Manufacturing Sector,14820,0.0,-51.34123518402994
AONELIQUID,14261,0.0,-12.223795162183789
TOP20,12716,0.0,-71.30218912209433
SMALLADD,10427,0.0,228.09943360604152
MOTOUR,8124,0.0,-19.755037534571315
GROWWNXT50,7779,0.0,-8.750733137829911
QUALITY30,7676,0.0,-28.00600262614894
DIVIDEND,7118,0.0,-65.74426103277348
MONIFTY100,6242,0.0,-58.37001467253569
MIDCAPADD,6082,0.0,986.0714285714286
ELM250,5637,0.0,-99.085957604129
Select IPO Index,4629,0.0,-70.13162988772746
GILT10BETA,4372,0.0,113.26829268292681
MOPSE,4217,0.0,635.9511343804537
MSCIADD,3930,0.0,-30.516265912305517
MANUFGBEES,3649,0.0,21.75508842175509
MON50EQUAL,2943,0.0,-72.90554225741116
GOLDBND,2925,0.0,-55.343511450381676
SNXT30BEES,2711,0.0,-60.721529991306866
MONEXT50,2605,0.0,-29.68960863697706
MOALPHA50,2338,0.0,-56.35616949785328
MOSERVICE,2116,0.0,-71.01766881249144
MOINFRA,1928,0.0,-12.323783537971805
ESENSEX,1721,0.0,-6.771397616468039
ENIFTY,1463,0.0,-91.8613707165109
MOIPO,1309,0.0,0.0764525993883792
GROWWMC150,1029,0.0,-55.79896907216495
ITBETA,855,0.0,31.336405529953915
SENSEXBETA,646,0.0,-74.24242424242425
MIDCAPBETA,619,0.0,122.66187050359711
ELIQUID,500,0.0,-80.0
SNXT50BETA,405,0.0,-91.92744668128363
MOMGF,399,0.0,-86.26978664831383
EQUAL50,59,0.0,-93.72340425531915
GILT5BETA,26,0.0,-99.62032710280374
