SYMBOL,VOLUME,PERCENTAGE,% Change From Yesterday
Silver,196279592,33.77,44.87390364150038
Gold,184647964,31.77,79.86219958651206
Metal Sector,56729879,9.76,364.75657288280115
IT Sector,20492657,3.53,171.3648903862416
Largecap Stocks,17548115,3.02,77.56598777567172
SILVERCASE,17167363,2.95,28.610211271536063
Midcap Stocks,13158636,2.26,23.53630217332832
Defence Sector,6112123,1.05,22.7394812553956
Smallcap Stocks,6075113,1.05,90.7341353750768
Gsecs - Bonds,5525876,0.95,366.3111730697989
Low Volatility Index,4975554,0.86,138.25641580620584
Capital Markets & Insurance,4959485,0.85,1459.9985530769134
Pharma Sector,3894398,0.67,-12.650577683135234
Oil and Gas Sector,2797040,0.48,222.5744695819047
Public Sector Enterprise,2587500,0.45,118.84882557473719
PSU Bank Sector,1827408,0.31,-22.93544089683625
Banking & Finance Sector,1563332,0.27,67.2656851836001
SML100CASE,1378511,0.24,99.35861559308896
USA Market,1090380,0.19,7.189095295252194
AONEGOLD,981849,0.17,65.66649681270734
MOENERGY,963895,0.17,213.52194404780101
GROWWCAPM,948829,0.16,154.915599401418
GROWWSLVR,813161,0.14,77.40546248279202
SILVERAG,802314,0.14,62.08625593948993
Auto Sector,711488,0.12,49.8210119353453
Reality Sector,587628,0.1,79.63133922293889
GOLDADD,543069,0.09,25.33209940365194
EV Sector,501686,0.09,-68.07077704035784
Consumption Sector,451874,0.08,105.90829968922873
CHEMICAL,442800,0.08,43.77323570953131
Healthcare Sector,424206,0.07,-8.446658307128844
FMCG Sector,418542,0.07,19.886913730185555
China Market,418467,0.07,-25.22020232344947
SMALL250,367598,0.06,681.6244950031894
GROWWNIFTY,363758,0.06,23.71879463982042
Infra Sector,353346,0.06,394.70913545677286
GROWWPOWER,310124,0.05,15.12424735134493
MOGOLD,306436,0.05,-80.78214504765644
SILVER360,282897,0.05,1496.213959261976
NBFC Sector,241692,0.04,-15.922104486853913
NIFTYCASE,236151,0.04,-35.148828894143236
MOSILVER,207163,0.04,-67.83338069130212
AONENIFTY,157416,0.03,7.331042382588775
GROWWMOM50,145942,0.03,-0.6440281030444965
LTGILTCASE,143414,0.02,-34.50757610353551
Commodities,134711,0.02,231.41683273058283
CASHIETF,132850,0.02,136.3416413157567
FLEXIADD,116600,0.02,-17.099182367579097
LIQGRWBEES,114110,0.02,153.42572234437114
GROWWSC250,111488,0.02,10.321897542970799
TOP15IETF,109507,0.02,-56.83381489788598
EVIETF,102732,0.02,233.35063923680966
ENERGY,91095,0.02,-47.06179755692186
GROWWNET,82076,0.01,-55.3031128150391
AONETMMQ50,65373,0.01,148.56653992395437
MOMIDMTM,64462,0.01,99.24581955305536
AXISVALUE,62400,0.01,1310.8071444720779
GROWWRLTY,56096,0.01,110.8634364545352
ITADD,54232,0.01,435.51890984496885
SBILIQETF,46279,0.01,-71.11245661781228
CHOICEGOLD,44764,0.01,162.453095684803
MID150,42893,0.01,252.7094811281967
INTERNET,41238,0.01,-27.071764581049056
SILVERBND,36087,0.01,639.9425876563461
SBIBPB,29281,0.01,64.76844296888189
TOP20,28587,0.0,-29.09090909090909
GOLDBND,25569,0.0,2560.6659729448493
SMALLADD,19494,0.0,-75.45083618778963
AONELIQUID,18237,0.0,91.82707478699905
GROWWNXT50,17433,0.0,41.83548938247498
GROWWLOVOL,17191,0.0,48.74967552132907
DIVIDEND,16853,0.0,0.5728949095900221
Manufacturing Sector,16150,0.0,72.76422764227642
ELM250,12193,0.0,-98.00353675110114
SNXT30BEES,11829,0.0,65.64906875787705
ESENSEX,10090,0.0,3230.0330033003297
MONIFTY100,9559,0.0,695.9200666111574
NIFTYADD,8877,0.0,84.86047480216577
MOMENTUM30,8548,0.0,140.65315315315314
MOTOUR,7973,0.0,-51.74313037162571
MOINFRA,5690,0.0,177.42564602632862
Select IPO Index,5491,0.0,-83.74914913137411
MSCIADD,4679,0.0,-3.0861640430820216
MOALPHA50,4543,0.0,-77.82171450888498
ENIFTY,4331,0.0,156.88018979833927
MIDCAPADD,4232,0.0,-57.10520981147374
BANKADD,4098,0.0,108.97501274859765
QUALITY30,4011,0.0,25.422138836772984
MANUFGBEES,3450,0.0,70.62314540059347
MOSERVICE,3250,0.0,102.36612702366128
MOIPO,3233,0.0,-31.54774507728139
MON50EQUAL,2773,0.0,-36.194201564657156
ELIQUID,2325,0.0,-25.0
GROWWMC150,2232,0.0,64.23841059602648
MOMNC,2116,0.0,28.867235079171742
MOPSE,1800,0.0,-9.819639278557114
MONEXT50,1309,0.0,27.45861733203505
EQUAL50,1273,0.0,135.30499075785582
MOMGF,232,0.0,-66.42547033285095
