SYMBOL,VOLUME,PERCENTAGE,% Change From Yesterday
Silver,213684491,36.08,40.825791862509675
Gold,185930288,31.39,9.29008035262534
Metal Sector,42758477,7.22,128.95797759291162
SILVERCASE,23075773,3.9,55.32358725897885
GROWWPOWER,15350287,2.59,3662.2145917276944
IT Sector,13165529,2.22,15.646414644033731
Midcap Stocks,11728508,1.98,4.075098360373525
Largecap Stocks,7842141,1.32,-13.338407104133712
Public Sector Enterprise,4351577,0.73,-46.151426463875076
Reality Sector,3962118,0.67,916.0345061916767
Capital Markets & Insurance,3959833,0.67,769.4674506841856
Gsecs - Bonds,3724001,0.63,41.42003295496016
Pharma Sector,3507646,0.59,-19.38249214600964
Smallcap Stocks,2853528,0.48,-30.42079704041967
Defence Sector,2702591,0.46,-25.274918213006732
SILVERBETA,2192746,0.37,
Low Volatility Index,2158767,0.36,-53.17945590347377
Banking & Finance Sector,1999961,0.34,-12.075403845545125
PSU Bank Sector,1661311,0.28,1.7186063057403618
FMCG Sector,1611726,0.27,55.40385355228561
GOLDBETA,1520828,0.26,
GROWWMETAL,1324561,0.22,34.30739310658112
China Market,1140376,0.19,233.32242111047458
AONEGOLD,1058663,0.18,26.703744395853228
Oil and Gas Sector,1037337,0.18,-27.759179856024925
MOENERGY,1031301,0.17,160.56443360830733
MOGOLD,1005964,0.17,-51.94978142577648
USA Market,887604,0.15,-23.625615763546797
GROWWSLVR,879293,0.15,18.823699523512225
SILVERAG,680769,0.11,-3.887997876629941
SML100CASE,567906,0.1,-18.061368919053454
MOSILVER,517750,0.09,-41.70151626727561
NIFTYCASE,487812,0.08,2.4001948032864657
GOLDADD,470393,0.08,1.304661505163298
MID150,446562,0.08,245.8718012268418
Auto Sector,380528,0.06,-27.213326727862906
CASHIETF,366079,0.06,-22.6986701128018
CHEMICAL,364578,0.06,-45.14654549831488
GROWWCAPM,356581,0.06,69.78673155030307
NBFC Sector,354594,0.06,64.0279583123245
MOMIDMTM,330732,0.06,897.5027144408251
SILVER360,297541,0.05,652.0878620898842
GROWWMOM50,281515,0.05,233.5722918690902
ENERGY,275283,0.05,225.95228228050442
SMALL250,244378,0.04,8.149085695066471
EV Sector,237476,0.04,-40.587628969147474
Healthcare Sector,208588,0.04,-18.79311687300475
GROWWNIFTY,197462,0.03,-15.46750116655893
FLEXIADD,194178,0.03,51.83679214300236
Consumption Sector,186782,0.03,16.789115305975702
AONENIFTY,176191,0.03,35.483598111437495
AXISVALUE,134064,0.02,809.4634013974629
Infra Sector,129815,0.02,-27.206405993282228
GROWWSC250,126296,0.02,94.30751715437398
LTGILTCASE,79478,0.01,-31.933953376839145
SBILIQETF,77071,0.01,-41.34448537246187
GROWWNET,72833,0.01,-32.10943325876212
GROWWRLTY,69618,0.01,18.648169609380325
NEXT50BETA,64787,0.01,
EVIETF,60394,0.01,-48.07586491505605
INTERNET,49392,0.01,36.26882966396292
Commodities,47217,0.01,-50.83610995418576
AONETMMQ50,43496,0.01,70.1788019875582
TOP20,37164,0.01,0.010764262648008612
SBIBPB,36981,0.01,-9.03478132533084
SILVERBND,31103,0.01,28.57792476229847
NIFTYBETA,31039,0.01,
TOP15IETF,30047,0.01,-73.9604818441806
LIQGRWBEES,28177,0.0,183.32830568124686
QUALITY30,27678,0.0,834.7517730496454
GROWWLOVOL,22701,0.0,4.5117628101836935
CHOICEGOLD,21216,0.0,-36.89095127610209
GOLDBND,20491,0.0,-12.633239532702312
GROWWNXT50,16685,0.0,42.753251197809725
NIFTYADD,15178,0.0,-56.40635321825545
BANKBETA,13279,0.0,
DIVIDEND,13177,0.0,18.46624112199946
ITADD,12834,0.0,-75.88138013981809
SMALLADD,11882,0.0,97.04809286898839
ELM250,11575,0.0,-12.773172569706103
Manufacturing Sector,10947,0.0,-73.49715530807408
MOTOUR,10067,0.0,93.63339103673783
MONEXT50,9541,0.0,531.4361350099272
MOMENTUM30,8044,0.0,-32.29526134163791
AONELIQUID,7414,0.0,-61.88174807197944
Select IPO Index,6968,0.0,8.875
MOIPO,4219,0.0,46.39139486467731
GILT10BETA,3322,0.0,
MIDCAPBETA,3081,0.0,
MOPSE,2876,0.0,34.07925407925408
MON50EQUAL,2627,0.0,-84.24493222981889
BANKADD,2605,0.0,158.17641228939544
ELIQUID,2520,0.0,530.0
MOMGF,2487,0.0,-1.0739856801909307
MOALPHA50,2358,0.0,173.23290845886444
SNXT50BETA,2357,0.0,
MANUFGBEES,1900,0.0,60.20236087689713
SENSEXBETA,1827,0.0,
MOSERVICE,1613,0.0,6352.0
SNXT30BEES,1447,0.0,-95.98334489937544
MOINFRA,1242,0.0,-16.25084288604181
MOMNC,1106,0.0,467.1794871794872
ITBETA,1051,0.0,
MSCIADD,1031,0.0,-30.101694915254235
GROWWMC150,926,0.0,-41.50347441566646
MONIFTY100,726,0.0,-56.552962298025136
ENIFTY,517,0.0,-94.8862512363996
MIDCAPADD,213,0.0,-90.26508226691043
EQUAL50,160,0.0,49.532710280373834
ESENSEX,139,0.0,-54.72312703583062
GILT5BETA,6,0.0,
