SYMBOL,VOLUME,PERCENTAGE,% Change From Yesterday
Gold,77780695,29.33,2.3091648264970845
Silver,43000400,16.21,-21.24296060561915
Metal Sector,42657377,16.08,203.06822516497664
Largecap Stocks,15070607,5.68,29.191145130932995
Midcap Stocks,12100312,4.56,1.5254774552968
IT Sector,6203394,2.34,-2.2578992281968446
SILVERCASE,5640669,2.13,-14.56357692599554
Low Volatility Index,5360194,2.02,40.18820107909624
PSU Bank Sector,3838889,1.45,-17.077550392667188
Gsecs - Bonds,3569463,1.35,-9.385863591245917
MOGOLD,3540823,1.34,16.148270465472457
Smallcap Stocks,3239716,1.22,6.952452826202214
Oil and Gas Sector,2614008,0.99,-16.091749250557807
USA Market,2602057,0.98,-11.31792916563996
Public Sector Enterprise,2464936,0.93,35.555958842712506
Defence Sector,2397877,0.9,21.369337030277077
Pharma Sector,2142275,0.81,-19.102103301887148
Banking & Finance Sector,1926506,0.73,45.81861779670382
MOSILVER,1635373,0.62,12.476160148778554
China Market,1160459,0.44,268.1087013757379
Reality Sector,667267,0.25,-75.68797896376044
GROWWPOWER,663099,0.25,85.03608083446348
Auto Sector,548417,0.21,-31.623602341981112
EV Sector,534140,0.2,94.19106446253349
Consumption Sector,506974,0.19,86.77271873238554
FMCG Sector,504435,0.19,-48.95436569777091
CASHIETF,500412,0.19,111.4279919892514
GROWWSC250,474233,0.18,93.31121265607104
TOP15IETF,471341,0.18,1063.948635634029
Capital Markets & Insurance,445460,0.17,-18.982378221671752
NBFC Sector,383832,0.14,-8.627745045527584
NIFTYCASE,346217,0.13,49.02270526202518
AONEGOLD,327793,0.12,-40.52152738463325
GROWWNET,325441,0.12,54.15415368000227
SML100CASE,296726,0.11,-6.266071101395619
GROWWMOM50,288711,0.11,78.18147032684902
SILVERAG,283233,0.11,90.14796514360138
EVIETF,254727,0.1,71.41559332983405
Commodities,254595,0.1,194.21383502438349
GROWWSLVR,231514,0.09,21.83408411569065
Healthcare Sector,219711,0.08,-22.002556001278002
FLEXIADD,189255,0.07,-12.35191686040588
AONENIFTY,170228,0.06,9.81743113347526
ELM250,149291,0.06,-50.29184077779812
MOENERGY,137000,0.05,116.83734033965906
SBIBPB,122345,0.05,209.17843875565438
LTGILTCASE,116500,0.04,17.59955584717105
GROWWNIFTY,111488,0.04,-20.708931340056612
GROWWRLTY,93151,0.04,-38.01297621028115
INTERNET,84857,0.03,110.8300827349748
Infra Sector,69706,0.03,-24.350194805899523
AXISVALUE,65637,0.02,47.131873304790304
MOMIDMTM,63548,0.02,94.55057555718834
AONELIQUID,62791,0.02,354.97427722628794
Select IPO Index,56833,0.02,258.1610789009327
SBILIQETF,38791,0.01,37930.39215686275
LIQGRWBEES,27677,0.01,114.61693548387098
SILVER360,26833,0.01,61.508366437943906
MOTOUR,25678,0.01,196.75257136253325
Manufacturing Sector,23933,0.01,-42.17545724709464
SNXT30BEES,23323,0.01,1070.2458605117913
MID150,17051,0.01,-38.837075830403904
MOMENTUM30,15893,0.01,-72.0597025421047
GROWWLOVOL,13019,0.0,-11.393180426053224
MONIFTY100,12374,0.0,662.88532675709
MON50EQUAL,10814,0.0,103.65348399246703
MOPSE,10086,0.0,6.639881581729752
GROWWNXT50,6792,0.0,45.501285347043705
MOINFRA,5625,0.0,-15.489783653846153
MONEXT50,4894,0.0,221.33946158896913
MANUFGBEES,4239,0.0,-39.7270012796815
MOMGF,2007,0.0,584.9829351535836
QUALITY30,1017,0.0,-70.42744984006978
MOALPHA50,402,0.0,-86.02225312934631
EQUAL50,129,0.0,-75.66037735849058
ELIQUID,5,0.0,400.0
