SYMBOL,VOLUME,PERCENTAGE,% Change From Yesterday
Silver,172382576,36.58,18.17958417244577
Gold,166019876,35.23,29.686305683786635
Low Volatility Index,21993253,4.67,1639.911980912057
Metal Sector,17549072,3.72,-11.081561267410631
SILVERCASE,15340691,3.26,27.002347285107675
Largecap Stocks,11538064,2.45,17.129571916021263
Midcap Stocks,7402283,1.57,-28.944538446571205
Pharma Sector,5221730,1.11,138.01976641678314
IT Sector,5206433,1.1,-24.824744030482286
Gsecs - Bonds,5144187,1.09,28.490286522423414
Smallcap Stocks,2896042,0.61,-20.01625060622163
PSU Bank Sector,2329265,0.49,61.81204706117731
Defence Sector,2197157,0.47,-7.541849367525395
Banking & Finance Sector,1857493,0.39,-12.076206903570311
USA Market,1454036,0.31,21.570443896712828
Public Sector Enterprise,1282750,0.27,18.077040263557343
Oil and Gas Sector,1105718,0.23,-4.625382328941762
CHEMICAL,1039135,0.22,168.9453741711399
NIFTYADD,913636,0.19,
AONEGOLD,884732,0.19,-22.866571056176248
Auto Sector,738892,0.16,41.58002644235375
GROWWSLVR,726386,0.15,5.53410964775278
CASHIETF,691992,0.15,523.7140256158347
FMCG Sector,679893,0.14,-43.01816581809039
Healthcare Sector,670163,0.14,285.2817909521045
GROWWNET,593390,0.13,661.5374743326488
GOLDADD,580413,0.12,
SML100CASE,562819,0.12,-55.90733959760147
SILVERAG,486588,0.1,-47.25287590569891
China Market,471932,0.1,54.791182191201216
Capital Markets & Insurance,427732,0.09,2.9570558940129548
Infra Sector,406412,0.09,-7.943073169958254
GROWWCAPM,373563,0.08,3.058969584109249
Reality Sector,352428,0.07,-58.85830356517475
ELM250,351421,0.07,8961.913357400723
NBFC Sector,343631,0.07,44.232480440549345
EV Sector,334505,0.07,40.71564086708144
Consumption Sector,320286,0.07,-5.989298220381518
GROWWNIFTY,262243,0.06,-10.974301524255695
MOGOLD,258242,0.05,-71.09582938791775
INTERNET,227524,0.05,284.87068017659897
FLEXIADD,223507,0.05,295.4966113991471
GROWWPOWER,199244,0.04,-83.43472336194203
NIFTYCASE,191492,0.04,46.52383502945903
SBILIQETF,180407,0.04,-38.25294091473829
LTGILTCASE,138768,0.03,4.013072091384712
GROWWSC250,135899,0.03,-11.835762895493145
GROWWMOM50,129765,0.03,33.376844961559016
AONENIFTY,125048,0.03,-1.7126867724618202
Commodities,121303,0.03,68.00038779015013
MOSILVER,120813,0.03,-71.84043073910915
SILVER360,90893,0.02,61.08068832296596
GROWWRLTY,85445,0.02,5.799829125444212
ENERGY,71927,0.02,151.85405651458385
TOP15IETF,68192,0.01,73.54745119995928
SMALL250,66222,0.01,-27.886311662855277
SBIBPB,61030,0.01,44.207367500767944
LIQGRWBEES,60301,0.01,-55.86192257299497
AXISVALUE,58266,0.01,29.436854381872706
CHOICEGOLD,45086,0.01,-46.79678557520975
EVIETF,44991,0.01,-40.16836001914996
MOENERGY,38368,0.01,-42.515544235523265
MOMIDMTM,34154,0.01,28.456446517225814
Select IPO Index,31859,0.01,143.58895940056578
AONETMMQ50,27716,0.01,-46.15952445704961
MSCIADD,23261,0.0,861.5957007027697
AONELIQUID,22362,0.0,-23.19422977846471
SILVERBND,22077,0.0,76.78571428571429
MID150,19255,0.0,-67.63811156490024
GROWWNXT50,18084,0.0,365.00385703265624
GROWWLOVOL,16287,0.0,-50.40348366271811
MOTOUR,13959,0.0,16.257183309735986
ITADD,13275,0.0,
MOMENTUM30,13007,0.0,302.8182099721276
Manufacturing Sector,11256,0.0,-58.88369374634716
MOALPHA50,8845,0.0,583.0115830115831
MOINFRA,8702,0.0,745.6754130223518
MANUFGBEES,7987,0.0,101.59010600706712
GOLDBND,7370,0.0,-14.915723851304548
MONEXT50,3670,0.0,55.44260906395595
SNXT30BEES,3415,0.0,77.86458333333334
ELIQUID,2500,0.0,-81.8538143282282
BANKADD,1515,0.0,
MON50EQUAL,1219,0.0,-62.54992319508449
MOSERVICE,1191,0.0,149.163179916318
EQUAL50,939,0.0,148.41269841269843
QUALITY30,889,0.0,-41.78127046496398
MOMNC,874,0.0,-61.96692776327241
MOMGF,816,0.0,82.14285714285714
ENIFTY,779,0.0,-59.969167523124355
GROWWMC150,596,0.0,-56.336996336996336
MONIFTY100,559,0.0,-85.53312629399586
ESENSEX,523,0.0,100.38314176245211
MOPSE,284,0.0,-43.98422090729783
MOIPO,221,0.0,-79.11153119092627
