SYMBOL,VOLUME,PERCENTAGE,% Change From Yesterday
Gold,74294523,28.68,-28.565801597569113
Silver,65867205,25.43,-26.782944035018335
IT Sector,31297142,12.08,259.4487963797329
Largecap Stocks,9801451,3.78,15.977952305329948
Metal Sector,9543266,3.68,-19.715756439385782
Midcap Stocks,7461247,2.88,-27.170654561966636
Pharma Sector,6529713,2.52,68.7488903562102
SILVERCASE,5461708,2.11,-20.011950519576665
PSU Bank Sector,4461193,1.72,33.69758680452017
Smallcap Stocks,3461176,1.34,-5.177079169688235
Banking & Finance Sector,2514277,0.97,-47.82197341123066
USA Market,2198903,0.85,-19.45439760293918
China Market,2003761,0.77,88.96542293600909
Gsecs - Bonds,1980041,0.76,-0.28061863011573757
Capital Markets & Insurance,1819239,0.7,436.9004931516552
Low Volatility Index,1698160,0.66,-58.31951682684815
Defence Sector,1437531,0.55,-25.64528159011701
Oil and Gas Sector,1018132,0.39,31.22828182839938
ENERGY,999539,0.39,1647.4152549780597
Public Sector Enterprise,921035,0.36,-69.88638016983958
Healthcare Sector,722200,0.28,-12.495501793830096
Reality Sector,473836,0.18,-48.8738646393281
FMCG Sector,448021,0.17,-19.42474120008345
SILVER360,429244,0.17,68.61067574839832
MOENERGY,425631,0.16,284.76162065411944
Infra Sector,418883,0.16,396.4715782487081
Auto Sector,396691,0.15,-67.96419855379342
EV Sector,395560,0.15,11.674811621452992
ELM250,374528,0.14,-68.2964487905301
Consumption Sector,362459,0.14,-46.41438415401287
NBFC Sector,350148,0.14,8.630285732013775
GROWWPOWER,331248,0.13,29.131451738655855
GROWWNET,315558,0.12,120.99446739967786
GROWWSLVR,284364,0.11,-26.525296946176326
AONEGOLD,258124,0.1,-26.60760184700771
SILVERAG,213643,0.08,-34.75234703787633
NIFTYCASE,198266,0.08,-66.34413968473837
SML100CASE,195864,0.08,-10.216318054925258
GROWWSC250,172205,0.07,-23.87316098458056
GROWWNIFTY,157309,0.06,-42.765091978111535
LTGILTCASE,151081,0.06,107.26407199593926
AONENIFTY,137016,0.05,-0.5025125628140703
CHOICEGOLD,124935,0.05,67.87600274116177
CASHIETF,100075,0.04,-65.48899924132698
SMALL250,85618,0.03,-63.64879208593385
FLEXIADD,85527,0.03,-49.47094167065455
INTERNET,84625,0.03,-17.77993684721885
GROWWRLTY,73210,0.03,-60.24436600597339
GROWWMOM50,72732,0.03,-41.787855261999475
Commodities,61035,0.02,10.147621453836713
MID150,47629,0.02,140.1744743079018
SBIBPB,47319,0.02,-54.63792012577411
MOGOLD,41547,0.02,-96.40867167443187
MOMIDMTM,38408,0.01,-0.4896753633702101
MOSILVER,34458,0.01,-92.4279781132573
TOP15IETF,32201,0.01,-88.68281950712047
EVIETF,28215,0.01,31.11668757841907
Select IPO Index,14024,0.01,-19.411561889437994
GROWWLOVOL,13713,0.01,-33.42234305966888
LIQGRWBEES,11291,0.0,-55.99080137199876
EQUAL50,11281,0.0,1244.5768772348033
AXISVALUE,10470,0.0,-80.07990867579909
AONELIQUID,9847,0.0,-55.32011434275602
Manufacturing Sector,7830,0.0,-75.24188958451906
MOTOUR,7241,0.0,-49.948157876546624
MONEXT50,7154,0.0,-57.28700220908711
MOMENTUM30,5581,0.0,17.47000631446011
MONIFTY100,4746,0.0,-45.93917302654061
MANUFGBEES,4437,0.0,266.694214876033
MON50EQUAL,3328,0.0,73.24310255075481
SNXT30BEES,3270,0.0,-60.9505612610461
GROWWNXT50,3103,0.0,-58.786027360871294
QUALITY30,2755,0.0,50.79365079365079
GROWWMC150,2532,0.0,-47.75072224515064
MOALPHA50,2108,0.0,-53.30084182543199
MOINFRA,929,0.0,-44.237695078031216
SBILIQETF,679,0.0,52.242152466367706
MOMGF,546,0.0,64.45783132530121
MOPSE,500,0.0,235.5704697986577
